Fixture ID,League ID,League Name,Home Team,Away Team,Date,Result,Total Goals,Over/Under 2.5,Both Teams to Score,Over/Under 1.5,Over/Under 0.5,Over/Under 3.5
1208249,39,Premier League,Manchester City,Chelsea,2025-01-25T17:30:00+00:00,Home Win,4,Over,Yes,Over,Over,Over
1208248,39,Premier League,Liverpool,Ipswich,2025-01-25T15:00:00+00:00,Home Win,5,Over,Yes,Over,Over,Over
1208245,39,Premier League,Brighton,Everton,2025-01-25T15:00:00+00:00,Away Win,1,Under,No,Under,Over,Under
1208250,39,Premier League,Southampton,Newcastle,2025-01-25T15:00:00+00:00,Away Win,4,Over,Yes,Over,Over,Over
1208252,39,Premier League,Wolves,Arsenal,2025-01-25T15:00:00+00:00,Away Win,1,Under,No,Under,Over,Under
1208243,39,Premier League,Bournemouth,Nottingham Forest,2025-01-25T15:00:00+00:00,Home Win,5,Over,No,Over,Over,Over
1208235,39,Premier League,Chelsea,Wolves,2025-01-20T20:00:00+00:00,Home Win,4,Over,Yes,Over,Over,Over
1208237,39,Premier League,Ipswich,Manchester City,2025-01-19T16:30:00+00:00,Away Win,6,Over,No,Over,Over,Over
1208239,39,Premier League,Manchester United,Brighton,2025-01-19T14:00:00+00:00,Away Win,4,Over,Yes,Over,Over,Over
1208236,39,Premier League,Everton,Tottenham,2025-01-19T14:00:00+00:00,Home Win,5,Over,Yes,Over,Over,Over
1208241,39,Premier League,Nottingham Forest,Southampton,2025-01-19T14:00:00+00:00,Home Win,5,Over,Yes,Over,Over,Over
1208233,39,Premier League,Arsenal,Aston Villa,2025-01-18T17:30:00+00:00,Draw,4,Over,Yes,Over,Over,Over
1208242,39,Premier League,West Ham,Crystal Palace,2025-01-18T15:00:00+00:00,Away Win,2,Under,No,Over,Over,Under
1208234,39,Premier League,Brentford,Liverpool,2025-01-18T15:00:00+00:00,Away Win,2,Under,No,Over,Over,Under
1208238,39,Premier League,Leicester,Fulham,2025-01-18T15:00:00+00:00,Away Win,2,Under,No,Over,Over,Under
1208240,39,Premier League,Newcastle,Bournemouth,2025-01-18T12:30:00+00:00,Away Win,5,Over,Yes,Over,Over,Over
1208232,39,Premier League,Manchester United,Southampton,2025-01-16T20:00:00+00:00,Home Win,4,Over,Yes,Over,Over,Over
1208226,39,Premier League,Ipswich,Brighton,2025-01-16T19:30:00+00:00,Away Win,2,Under,No,Over,Over,Under
1208223,39,Premier League,Arsenal,Tottenham,2025-01-15T20:00:00+00:00,Home Win,3,Over,Yes,Over,Over,Under
1208225,39,Premier League,Everton,Aston Villa,2025-01-15T19:30:00+00:00,Away Win,1,Under,No,Under,Over,Under
1208227,39,Premier League,Leicester,Crystal Palace,2025-01-15T19:30:00+00:00,Away Win,2,Under,No,Over,Over,Under
1208231,39,Premier League,Newcastle,Wolves,2025-01-15T19:30:00+00:00,Home Win,3,Over,No,Over,Over,Under
1208228,39,Premier League,Nottingham Forest,Liverpool,2025-01-14T20:00:00+00:00,Draw,2,Under,Yes,Over,Over,Under
1208224,39,Premier League,Brentford,Manchester City,2025-01-14T19:30:00+00:00,Draw,4,Over,Yes,Over,Over,Over
1208230,39,Premier League,Chelsea,Bournemouth,2025-01-14T19:30:00+00:00,Draw,4,Over,Yes,Over,Over,Over
